ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416686331.26278,template1,0,0,0,0,0,0,0,0,0,0
1416686331.26278,template0,0,0,0,0,0,0,0,0,0,0
1416686331.26278,postgres,0,2983,20,13793,143046,1378527,53521,0,0,0
1416686331.26278,dbt3,8,78061,0,3381042128,24177693902,203912611340,67216329881,1846681027,13794,23654685
1416686391.26528,template1,0,0,0,0,0,0,0,0,0,0
1416686391.26528,template0,0,0,0,0,0,0,0,0,0,0
1416686391.26528,postgres,0,2985,20,13821,143076,1379453,53532,0,0,0
1416686391.26528,dbt3,10,78342,0,3384517213,24205437795,204093288876,67413037775,1846846231,13810,23729816
1416686451.26729,template1,0,0,0,0,0,0,0,0,0,0
1416686451.26729,template0,0,0,0,0,0,0,0,0,0,0
1416686451.26729,postgres,0,2987,20,13849,143106,1380379,53543,0,0,0
1416686451.26729,dbt3,10,78433,0,3389999431,24228998671,204368700991,67634456461,1846935914,13823,23804562
1416686511.26901,template1,0,0,0,0,0,0,0,0,0,0
1416686511.26901,template0,0,0,0,0,0,0,0,0,0,0
1416686511.26901,postgres,0,2989,20,13877,143136,1381305,53554,0,0,0
1416686511.26901,dbt3,9,78508,0,3393846174,24238194335,204774415492,67779073442,1847041418,13835,23954052
1416686571.2717,template1,0,0,0,0,0,0,0,0,0,0
1416686571.2717,template0,0,0,0,0,0,0,0,0,0,0
1416686571.2717,postgres,0,2991,20,13905,143166,1382231,53565,0,0,0
1416686571.2717,dbt3,9,78576,0,3399482145,24286615786,204923236937,67944580396,1847041427,13847,23954052
1416686631.27275,template1,0,0,0,0,0,0,0,0,0,0
1416686631.27275,template0,0,0,0,0,0,0,0,0,0,0
1416686631.27275,postgres,0,2993,20,13933,143196,1383157,53576,0,0,0
1416686631.27275,dbt3,9,78642,0,3403111969,24295931522,205220144337,68160430939,1847041451,13857,23954067
1416686691.2747,template1,0,0,0,0,0,0,0,0,0,0
1416686691.2747,template0,0,0,0,0,0,0,0,0,0,0
1416686691.2747,postgres,0,2995,20,13961,143226,1384083,53587,0,0,0
1416686691.2747,dbt3,9,78708,0,3407901579,24342604875,205424266295,68317993226,1847041475,13867,23954082
1416686751.2765,template1,0,0,0,0,0,0,0,0,0,0
1416686751.2765,template0,0,0,0,0,0,0,0,0,0,0
1416686751.2765,postgres,0,2997,20,13989,143256,1385009,53598,0,0,0
1416686751.2765,dbt3,9,78774,0,3412503793,24384415849,205689440131,68453694763,1847041484,13876,23954082
1416686811.27819,template1,0,0,0,0,0,0,0,0,0,0
1416686811.27819,template0,0,0,0,0,0,0,0,0,0,0
1416686811.27819,postgres,0,2999,20,14017,143286,1385935,53609,0,0,0
1416686811.27819,dbt3,9,78824,0,3416023603,24391739127,206111449314,68459362882,1847041505,13886,23954097
1416686871.2801,template1,0,0,0,0,0,0,0,0,0,0
1416686871.2801,template0,0,0,0,0,0,0,0,0,0,0
1416686871.2801,postgres,0,3001,20,14045,143316,1386861,53620,0,0,0
1416686871.2801,dbt3,9,78878,0,3419942143,24445702951,206344999549,68499248421,1847041512,13893,23954097
1416686931.28182,template1,0,0,0,0,0,0,0,0,0,0
1416686931.28182,template0,0,0,0,0,0,0,0,0,0,0
1416686931.28182,postgres,0,3003,20,14073,143346,1387787,53631,0,0,0
1416686931.28182,dbt3,9,78950,0,3423349166,24457001541,206593564728,68584949706,1847041522,13903,23954097
