ctime,schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch,idx_blks_read,idx_blks_hit
1416686331.26298,pg_catalog,pg_statistic,pg_statistic_relid_att_inh_index,202820,194909,194846,2232,435038
1416686331.26298,pg_catalog,pg_type,pg_type_typname_nsp_index,22483,17296,16172,6291,53897
1416686331.26298,pg_catalog,pg_type,pg_type_oid_index,851382,849093,849093,2141,1742078
1416686331.26298,public,part,part_p_size_brin_idx,11,4463360,0,6,16
1416686331.26298,public,part,pk_part,53,2000052,2000052,10989,136
1416686331.26298,public,part,part_p_type_p_partkey_idx,1,13566,0,11611,9
1416686331.26298,public,part,part_p_container_p_brand_p_partkey_idx,13,26108,0,12337,20
1416686331.26298,public,part,part_p_name_idx,3,21672,2,13765,13
1416686331.26298,public,nation,pk_nation,25089,25113,25113,13,25095
1416686331.26298,pg_toast,pg_toast_2619,pg_toast_2619_index,145719,492844,492844,2899,295560
1416686331.26298,pg_toast,pg_toast_1255,pg_toast_1255_index,0,0,0,0,0
1416686331.26298,pg_toast,pg_toast_2604,pg_toast_2604_index,0,0,0,0,0
1416686331.26298,pg_toast,pg_toast_2606,pg_toast_2606_index,0,0,0,0,0
1416686331.26298,pg_toast,pg_toast_2618,pg_toast_2618_index,3766,12026,12026,677,5399
1416686331.26298,pg_toast,pg_toast_2620,pg_toast_2620_index,0,0,0,0,0
1416686331.26298,pg_toast,pg_toast_2609,pg_toast_2609_index,0,0,0,0,0
1416686331.26298,pg_toast,pg_toast_2964,pg_toast_2964_index,0,0,0,0,0
1416686331.26298,pg_toast,pg_toast_2396,pg_toast_2396_index,0,0,0,0,0
1416686331.26298,pg_toast,pg_toast_3596,pg_toast_3596_index,0,0,0,0,0
1416686331.26298,pg_catalog,pg_authid,pg_authid_oid_index,36789,36789,36789,963,72615
1416686331.26298,pg_catalog,pg_authid,pg_authid_rolname_index,36569,36569,36569,982,72156
1416686331.26298,pg_catalog,pg_largeobject,pg_largeobject_loid_pn_index,0,0,0,0,0
1416686331.26298,pg_catalog,pg_user_mapping,pg_user_mapping_user_server_index,0,0,0,0,0
1416686331.26298,pg_catalog,pg_user_mapping,pg_user_mapping_oid_index,0,0,0,0,0
1416686331.26298,pg_catalog,pg_attribute,pg_attribute_relid_attnum_index,742075,1673314,1673135,4921,1538772
1416686331.26298,pg_catalog,pg_attribute,pg_attribute_relid_attnam_index,1197,1197,1197,1943,17920
1416686331.26298,pg_catalog,pg_proc,pg_proc_proname_args_nsp_index,44324,200480,200480,7585,115447
1416686331.26298,pg_catalog,pg_proc,pg_proc_oid_index,278414,278414,278414,5391,586714
